alpha,word,continuation,token_ids,logprob,logprob_shift_from_alpha0,delta_x_norm,z_target_1,z_target_2,layer_hidden_state_index,layer_module_index,token_index
0.0,king, king,11477,-2.19921875,0.0,0.0,-6.226298809051514,-8.015030860900879,26,25,3
0.0,queen, queen,27906,-6.00390625,0.0,0.0,-6.226298809051514,-8.015030860900879,26,25,3
0.0,prince, prince,41726,-4.95703125,0.0,0.0,-6.226298809051514,-8.015030860900879,26,25,3
0.0,princess, princess,39588,-6.86328125,0.0,0.0,-6.226298809051514,-8.015030860900879,26,25,3
0.0,man, man,883,-3.30078125,0.0,0.0,-6.226298809051514,-8.015030860900879,26,25,3
0.0,woman, woman,5220,-4.51953125,0.0,0.0,-6.226298809051514,-8.015030860900879,26,25,3
0.5,king, king,11477,-2.25,-0.05078125,5.491785526275635,-0.6976156234741211,-8.41069507598877,26,25,3
0.5,queen, queen,27906,-5.71875,0.28515625,5.491785526275635,-0.6976156234741211,-8.41069507598877,26,25,3
0.5,prince, prince,41726,-4.984375,-0.02734375,5.491785526275635,-0.6976156234741211,-8.41069507598877,26,25,3
0.5,princess, princess,39588,-6.640625,0.22265625,5.491785526275635,-0.6976156234741211,-8.41069507598877,26,25,3
0.5,man, man,883,-3.3125,-0.01171875,5.491785526275635,-0.6976156234741211,-8.41069507598877,26,25,3
0.5,woman, woman,5220,-4.234375,0.28515625,5.491785526275635,-0.6976156234741211,-8.41069507598877,26,25,3
1.0,king, king,11477,-2.3046875,-0.10546875,10.98357105255127,4.8310675621032715,-8.806358337402344,26,25,3
1.0,queen, queen,27906,-5.4296875,0.57421875,10.98357105255127,4.8310675621032715,-8.806358337402344,26,25,3
1.0,prince, prince,41726,-5.0234375,-0.06640625,10.98357105255127,4.8310675621032715,-8.806358337402344,26,25,3
1.0,princess, princess,39588,-6.40625,0.45703125,10.98357105255127,4.8310675621032715,-8.806358337402344,26,25,3
1.0,man, man,883,-3.3203125,-0.01953125,10.98357105255127,4.8310675621032715,-8.806358337402344,26,25,3
1.0,woman, woman,5220,-3.9609375,0.55859375,10.98357105255127,4.8310675621032715,-8.806358337402344,26,25,3
